,i,a,e,inc,m_e,EF,EC,OC,CI,EF_ratio,EC_ratio,OC_ratio,CI_ratio,P,T,MgO,Al2O3,CaO,FeO,NiO,SiO2,Fe,Ni,Si,O
0,6170,1.8854257620344528,0.0551450432702075,0.0260602284785202,0.00021463802863802865,0.0,0.0,0.00021463802863802865,0.0,0.0,0.0,1.0,0.0,0.3940523374891775,1895.5733195773523,7.522539854406803e-05,2.7142453927773273e-06,4.025822515448626e-06,3.65643790480706e-05,4.421100332366492e-08,7.997512037798886e-05,1.3438879889089082e-05,2.64796216387677e-06,2.0097033856959073e-09,9.247933613553913e-07
1,5974,1.3285771169905412,0.1361992216837524,0.1250764330378001,0.0003670296370296371,0.0,0.0,0.0003670296370296371,0.0,0.0,0.0,1.0,0.0,0.4111293411255411,1896.4961330129256,0.00012863494366881854,4.641342019593649e-06,6.884130393699747e-06,6.253061173699801e-05,7.608183912103634e-08,0.00013675694514764047,2.297463677120147e-05,4.527516817875925e-06,3.428634688255926e-09,1.5751327631459877e-06
2,5069,2.733345655588821,0.1740278327345959,0.0359800551713633,0.0003958574758574759,0.0,0.0,0.0,0.0003958574758574759,0.0,0.0,0.0,1.0,0.41435978874458873,1896.670588531938,0.00013383199607068335,5.307575418165539e-06,7.749603312760161e-06,0.00011110877681588406,1.6812582349955263e-06,0.0001298735711085953,1.8285142014096926e-06,4.4761634168636635e-06,1.7278118551785487e-11,6.3047121745104986e-06
3,6279,2.010899421959811,0.1109849452502413,0.0496940693865675,0.0004014718614718615,0.0,0.0,0.0004014718614718615,0.0,0.0,0.0,1.0,0.0,0.4149889367965368,1896.7045605697176,0.00014070610401654979,5.076887619795583e-06,7.530140252816926e-06,6.839993127741767e-05,8.334072467831944e-08,0.00014959027969114314,2.5129167794843405e-05,4.9522616785812595e-06,3.748416035410148e-09,1.7214015509022765e-06
4,5550,2.8655010205811724,0.3646559192191687,0.3603324149369006,0.0004017182817182817,0.0,0.0,0.0,0.0004017182817182817,0.0,0.0,0.0,1.0,0.4150165506493506,1896.7060516007532,0.00013581342472814492,5.3861558947627605e-06,7.864338850887771e-06,0.00011275441380306366,1.7068715070462279e-06,0.00013179639393503465,1.8549525884892763e-06,4.541712886722784e-06,1.7524129608363637e-11,6.396700523471246e-06
5,5694,3.1389290337289166,0.0842707599035111,0.2481264445704003,0.00040301365301365305,0.0,0.0,0.0,0.00040301365301365305,0.0,0.0,0.0,1.0,0.41516170995671,1896.7138895451894,0.00013625136549391342,5.40352396601067e-06,7.889698012439842e-06,0.00011311813938126927,1.7125354454214508e-06,0.00013222138148023363,1.8607936697080245e-06,4.556197986190131e-06,1.7578466568642093e-11,6.417026812831296e-06
6,5374,1.7331034483016978,0.0190415852699249,0.0635794661062671,0.0004054412254412254,0.0,0.0,0.0004054412254412254,0.0,0.0,0.0,1.0,0.0,0.4154337437229437,1896.728577940403,0.00014209726935876147,5.127082955330796e-06,7.604590968476567e-06,6.90763682301403e-05,8.417861276797295e-08,0.00015106928336504745,2.5377455764518666e-05,5.001210937890334e-06,3.78524829186609e-09,1.7382419022097867e-06
7,3337,1.3368840025526447,0.138768591281965,0.0843656032493619,0.00041115884115884116,0.0,0.00041115884115884116,0.0,0.0,0.0,1.0,0.0,0.0,0.41607445974025975,1896.7631722381075,0.00012558543092016646,4.190817707903056e-06,5.950439662195174e-06,2.81804290190524e-06,1.0171749903481674e-09,0.00014794139748168752,0.00011002285508817992,6.420758780086407e-06,8.228081441727023e-06,2.7073483057325765e-07
8,6196,3.1311720173861013,0.2693653604317927,0.0179205136882332,0.00041766233766233767,0.0,0.0,0.0,0.00041766233766233767,0.0,0.0,0.0,1.0,0.41680324155844156,1896.8025197762,0.00014120381132583018,5.5999305095056575e-06,8.176471667112205e-06,0.0001172313873820615,1.7766591097477146e-06,0.0001370273460347458,1.9267840617375e-06,4.719929379625977e-06,1.8191971122875558e-11,6.646749825305704e-06
9,6642,1.513004361445278,0.1615334293653488,0.0421791523205544,0.0004207625707625708,0.0,0.0,0.0004207625707625708,0.0,0.0,0.0,1.0,0.0,0.4171506536796537,1896.8212762047938,0.00014746702752949643,5.32083189727502e-06,7.891963235884299e-06,7.168737764058503e-05,8.741534870432763e-08,0.00015677808869537455,2.633579146141683e-05,5.190147578784137e-06,3.927375050172266e-09,1.8032104359555902e-06
10,5567,1.8139852354940784,0.1600265505456966,0.1384767724897619,0.00043951381951381954,0.0,0.0,0.00043951381951381954,0.0,0.0,0.0,1.0,0.0,0.4192519186147186,1896.9347125422446,0.00015403888326942435,5.557954325461919e-06,8.243667916991215e-06,7.488296428238934e-05,9.138223167874217e-08,0.00016376489226680124,2.7508599146812657e-05,5.421374845979383e-06,4.101228280676541e-09,1.8826521360561276e-06
11,5566,1.6862475109386599,0.1426986521181251,0.0199665671905755,0.00044546786546786546,0.0,0.0,0.00044546786546786546,0.0,0.0,0.0,1.0,0.0,0.419919129004329,1896.9707285829556,0.00015612563128274191,5.633247328764738e-06,8.355343990480678e-06,7.589766783285546e-05,9.264311000093279e-08,0.00016598339784371058,2.788098297994337e-05,5.494794688755284e-06,4.1564106125250525e-09,1.9078603633418704e-06
12,6394,1.38215001879346,0.3390900484831028,0.0199840448448331,0.0004488278388278389,0.0,0.0,0.0004488278388278389,0.0,0.0,0.0,1.0,0.0,0.42029564761904764,1896.9910523970157,0.00015730322006654362,5.6757365012102335e-06,8.418364772444251e-06,7.647028600412402e-05,9.335491766283705e-08,0.00016723533975366114,2.809112273375827e-05,5.536226531869652e-06,4.187546564875504e-09,1.922082506446458e-06
13,6942,2.8511832345118524,0.2492723708591884,0.1943394297891948,0.000448997668997669,0.0,0.0,0.0,0.000448997668997669,0.0,0.0,0.0,1.0,0.42031467878787876,1896.9920796531953,0.00015179769977282645,6.020068171312395e-06,8.789915652214942e-06,0.00012603051399561312,1.914275358782925e-06,0.0001473078930872258,2.0675604435149123e-06,5.069723017733629e-06,1.9498444769590687e-11,7.137322458138095e-06
14,6583,1.8435001470669063,0.1431698187161239,0.1439202533999469,0.00044976356976356976,0.0,0.0,0.00044976356976356976,0.0,0.0,0.0,1.0,0.0,0.42040050562770565,1896.9967123617043,0.00015763117095677975,5.687569462020127e-06,8.435915654239854e-06,7.662975672160324e-05,9.355318578184225e-08,0.00016758399751108888,2.8149645055871163e-05,5.547764999001521e-06,4.196217183406389e-09,1.9260430007241513e-06
15,5724,1.7558716964536523,0.214204198714726,0.0353260869572403,0.0004646187146187146,0.0,0.0,0.0004646187146187146,0.0,0.0,0.0,1.0,0.0,0.42206517316017317,1897.0865617652364,0.0001628375372249059,5.875422978649812e-06,8.714543710076819e-06,7.916145090746315e-05,9.670283134118554e-08,0.00017311909454066686,2.907868734552889e-05,5.730941246517449e-06,4.333833564533398e-09,1.988889884159818e-06
16,6257,1.561328160639003,0.1621438544689767,0.0784016816004306,0.00046561105561105563,0.0,0.0,0.00046561105561105563,0.0,0.0,0.0,1.0,0.0,0.4221763748917749,1897.0925634713312,0.00016318532856045886,5.887971812533616e-06,8.73315638899173e-06,7.933057242362962e-05,9.691336742679568e-08,0.00017348884547646896,2.9140747059961902e-05,5.743177497281522e-06,4.343024302629105e-09,1.9930865952857307e-06
17,5908,1.2843767174275256,0.0501449465855744,0.098285213481089,0.00047276723276723276,0.0,0.0,0.00047276723276723276,0.0,0.0,0.0,1.0,0.0,0.4229782961038961,1897.1358429748452,0.00016569339426550326,5.9784665911117805e-06,8.867380036602948e-06,8.055018430500171e-05,9.843214409017726e-08,0.00017615527085758945,2.958827767710748e-05,5.831417596255612e-06,4.409293970333893e-09,2.0233428749306817e-06
18,5878,3.19883909102111,0.0514958851466366,0.0220804604508343,0.0004809457209457209,0.0,0.0,0.0,0.0004809457209457209,0.0,0.0,0.0,1.0,0.4238947774891775,1897.1853025628502,0.00016259873757946643,6.448421064763387e-06,9.41535471630375e-06,0.00013500223655250887,2.055213002515667e-06,0.00015778946253453073,2.2105487619843882e-06,5.425725911434322e-06,2.082221333831076e-11,7.636316317845336e-06
19,5753,1.8421436841240373,0.0658588697022114,0.1390503939388328,0.00048222777222777224,0.0,0.0,0.00048222777222777224,0.0,0.0,0.0,1.0,0.0,0.42403844415584413,1897.1930555350318,0.0001690090828034424,6.098101614816093e-06,9.044825072835367e-06,8.216253966957464e-05,1.0044135283308223e-07,0.00017968031253076593,3.0179901762645645e-05,5.948070539995749e-06,4.496880863340269e-09,2.0633245995042414e-06
20,6367,1.3239412745904175,0.1993854323277206,0.115533281064593,0.00048516150516150514,0.0,0.0,0.00048516150516150514,0.0,0.0,0.0,1.0,0.0,0.42436719826839825,1897.2107964854683,0.00017003728470485892,6.1352006841168665e-06,9.099851147077098e-06,8.266253808207808e-05,1.0106472959646031e-07,0.00018077343527934294,3.0363361954699713e-05,5.984244543147034e-06,4.524036588030673e-09,2.075719022543907e-06
21,5279,1.3728319992452476,0.1306764477112156,0.1264149123041039,0.0004891941391941393,0.0,0.0,0.0004891941391941393,0.0,0.0,0.0,1.0,0.0,0.42481909523809525,1897.235182135678,0.0001714506246624247,6.186196113087625e-06,9.175488577164202e-06,8.334982587231275e-05,1.0192185210299216e-07,0.00018227601377199324,3.0615538829753525e-05,6.033968155120251e-06,4.561360179974536e-09,2.092753027063861e-06
22,3089,1.4291686261506296,0.0794306598725399,0.0646389090976103,0.0004894605394605395,0.0,0.0004894605394605395,0.0,0.0,0.0,1.0,0.0,0.0,0.42484894805194806,1897.2367930540438,0.00014950210627435326,4.988923235384267e-06,7.083650199218908e-06,3.3531669838216344e-06,1.2141139311907174e-09,0.0001761167117720781,0.00013097731864497112,7.643534359450874e-06,9.793913877330194e-06,3.215677788700479e-07
23,1996,1.4245999189871772,0.1199442745838769,0.0358999388765018,0.0004911854811854812,0.0004911854811854812,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.425042245021645,1897.2472236764704,0.00018758384259014854,1.1158939054275245e-05,1.6293193077563345e-05,1.7413055866416144e-06,5.956315735722113e-10,8.970885067237792e-05,0.0001565557507075967,8.63049341735171e-06,1.951251044795257e-05,2.341575025785773e-07
24,6669,2.4758085231435456,0.5879219102316414,0.387718736710314,0.0004913852813852814,0.0,0.0,0.0,0.0004913852813852814,0.0,0.0,0.0,1.0,0.42506463463203464,1897.24843184839,0.00016612815737556988,6.58839253870219e-06,9.619727393593557e-06,0.00013793401568467392,2.101405347331171e-06,0.0001612144907015724,2.25715389021855e-06,5.5419172006456915e-06,2.1252973990068535e-11,7.799113596812198e-06
25,6303,1.3834898254638155,0.0586374240777423,0.1588203991999863,0.000493010323010323,0.0,0.0,0.000493010323010323,0.0,0.0,0.0,1.0,0.0,0.4252467367965368,1897.258258249461,0.00017278810409377922,6.234454380305203e-06,9.247066194736307e-06,8.400022674524428e-05,1.0273323004270647e-07,0.00018369794189562313,3.085417718590587e-05,6.0810226084883735e-06,4.596676197933958e-09,2.1088694540652908e-06
26,5713,3.094440608290248,0.1359019998385463,0.1610380283075854,0.0004966167166167167,0.0,0.0,0.0,0.0004966167166167167,0.0,0.0,0.0,1.0,0.42565086926406925,1897.2800652044534,0.0001678968076147018,6.658534543664824e-06,9.722141899501783e-06,0.00013940319984647877,2.1245784637941496e-06,0.0001629308285808262,2.2804870085053127e-06,5.6001171907397205e-06,2.1468504084925025e-11,7.880647136253207e-06
27,5362,1.5885510541573848,0.0761316235508265,0.0863310686815196,0.0004987745587745587,0.0,0.0,0.0004987745587745587,0.0,0.0,0.0,1.0,0.0,0.42589267705627704,1897.2931128652747,0.00017480832826103463,6.307347103301388e-06,9.355182124943388e-06,8.498264463430348e-05,1.0395927714048867e-07,0.00018584572338870117,3.121462745177179e-05,6.152096521245622e-06,4.650012116786013e-09,2.1332062537457192e-06
28,5228,2.770125270330074,0.153671877955414,0.160284732000111,0.0005086280386280386,0.0,0.0,0.0,0.0005086280386280386,0.0,0.0,0.0,1.0,0.426996858008658,1897.3526906066288,0.0001719576105507608,6.819579872691061e-06,9.957284562016721e-06,0.00014277648767237628,2.1778490350786794e-06,0.0001668715228722292,2.3340036570128656e-06,5.73367844335788e-06,2.196251505854653e-11,8.06772602540088e-06
29,5048,1.6920401714683428,0.2405263559310434,0.066243036816645,0.0005150582750582751,0.0,0.0,0.0005150582750582751,0.0,0.0,0.0,1.0,0.0,0.42771743030303033,1897.3915679114327,0.0001805153740021548,6.513265887502052e-06,9.660604943379336e-06,8.775796759865717e-05,1.0742593466672785e-07,0.0001919131130991849,3.223284884188598e-05,6.3528741177292655e-06,4.800633114827608e-09,2.2019184359405963e-06
30,5240,1.8428086576002152,0.1141415542043277,0.1262461412526115,0.0005151781551781552,0.0,0.0,0.0,0.0005151781551781552,0.0,0.0,0.0,1.0,0.4277308640692641,1897.3922926915018,0.00017417208223782159,6.90740248488807e-06,1.008551456400366e-05,0.00014461606939052455,2.206936549947198e-06,0.0001690204958893967,2.3631561781645215e-06,5.80647565197608e-06,2.2231432813364302e-11,8.16967629300628e-06
31,6835,2.6429501150651156,0.3830493914225203,0.2454706186608392,0.0005157542457542457,0.0,0.0,0.0005157542457542457,0.0,0.0,0.0,1.0,0.0,0.4277954207792208,1897.395775653754,0.0001807592947710493,6.522066915293041e-06,9.673658802081404e-06,8.787658691376052e-05,1.0757420387813269e-07,0.00019217243507417393,3.227636669857889e-05,6.36145530640908e-06,4.807069021431267e-09,2.2048538906116553e-06
