,EF,EC,OC,CI
MgO,1.0,1.0,1.0,1.0
Al2O3,0.05948774105590955,0.03337025383594959,0.03608150232912745,0.039658494037273034
CaO,0.08685819019691537,0.047381608030455546,0.05351679875900225,0.05790546013127691
FeO,0.0,0.0,0.4985343434815265,0.8438736201591579
NiO,0.0004600777799485055,0.0005113182109859131,0.00035784894724589356,0.04600859161218183
SiO2,0.48327045230605165,1.1900599200196769,1.0631665850799434,0.9704225611199966
Fe,0.8438736199689711,0.8985190173995351,0.1661781061024676,0.0
Ni,0.04555182244422663,0.05062340265611072,0.035430238843652755,0.0
Si,0.09898311288489063,0.053471895567197114,0.0,0.0
O,0.0,0.0,0.0,0.0
